base_channels,batch_size,degrade_s2,epoch,epochs,record_type,run,seed,test_accuracy,test_f1,test_iou,test_loss,test_precision,test_recall,train_degrade_s2,val_accuracy,val_f1,val_iou,val_loss,val_precision,val_recall,variant
16,8,none,25,25,train,multimodal_none_seed13,13,0.9004211425781232,0.8088038107176202,0.6872394174474039,0.2432225379678938,0.8169016226955943,0.8047078007178049,none,0.8838460180494502,0.7683925995403804,0.6289000388370646,0.2641606529553731,0.8192766328760134,0.7347393928838933,multimodal
16,8,noise_after,,25,eval,multimodal_none_seed13_eval-noise_after,13,0.6827523973253025,0.5635955526217667,0.41049219252957675,0.5953242315186394,0.4805934198346031,0.7609805817809576,none,,,,,,,multimodal
16,8,none,,25,eval,multimodal_none_seed13_eval-none,13,0.8937658380579047,0.8030999167445507,0.681428154962234,0.2535841763019562,0.7681057565216923,0.8493322521106277,none,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_seed13_eval-patch_after,13,0.8438683969003165,0.7320655093802093,0.5901692152380545,0.33883439004421234,0.6888686612348811,0.799888373400623,none,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_seed13_eval-zero_after,13,0.6819689715350102,0.5447493657654033,0.38426758058513966,0.5832065873675876,0.5176188748627673,0.6792962754451237,none,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_seed13_eval-zero_all,13,0.6843136681450724,0.09600261464190546,0.05365777376698248,0.8608763482835557,0.8314330108613954,0.05443360061824184,none,,,,,,,multimodal
16,8,none,25,25,train,multimodal_none_seed21,21,0.9048401161476399,0.8060488359773843,0.6832237528726587,0.24143854445881313,0.833848329897306,0.7838542988207149,none,0.8895051214430049,0.7486900129024662,0.6116434598058306,0.2648587574561437,0.8205275880780176,0.7068277424274152,multimodal
16,8,noise_after,,25,eval,multimodal_none_seed21_eval-noise_after,21,0.7469126383463528,0.49168786804900677,0.3318714319411679,0.5571889082590739,0.6479694677754448,0.42219823833138787,none,,,,,,,multimodal
16,8,none,,25,eval,multimodal_none_seed21_eval-none,21,0.9046827952067039,0.8133384207620922,0.6931386661573791,0.23423435125086042,0.8191042026100602,0.8106471612643631,none,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_seed21_eval-patch_after,21,0.8285071055094383,0.7104108059451171,0.5669906084671864,0.3530512948830922,0.6554161235256117,0.8062085874896969,none,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_seed21_eval-zero_after,21,0.6578285076000058,0.5675484157495331,0.41126389847829237,0.6429588860935636,0.5039220674898648,0.7959497867184083,none,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_seed21_eval-zero_all,21,0.6754952889901606,0.019462339312789807,0.01000363753299599,1.1856036682923634,0.9787621240135024,0.010006400573713504,none,,,,,,,multimodal
16,8,none,25,25,train,multimodal_none_seed7,7,0.8965729607476111,0.8065862265251909,0.6858496995332071,0.24473481211397383,0.7770401436789319,0.8460637109067286,none,0.8764555189344599,0.776250415931452,0.6412736830274546,0.28607966005802155,0.7632959813562494,0.8015312412056496,multimodal
16,8,noise_after,,25,eval,multimodal_none_seed7_eval-noise_after,7,0.7341560081199348,0.3859212157673206,0.24320531803401105,0.6199521985318925,0.8188377866292215,0.26394084684231073,none,,,,,,,multimodal
