base_channels,batch_size,degrade_s2,epoch,epochs,record_type,run,seed,test_accuracy,test_f1,test_iou,test_loss,test_precision,test_recall,train_degrade_s2,val_accuracy,val_f1,val_iou,val_loss,val_precision,val_recall,variant
16,8,none,5,5,train,multimodal_none_seed7,7,0.8735614352756058,0.7641139213943245,0.6253811369165743,0.3078859680228763,0.7981954659925314,0.7404306970955199,none,0.8373957210116898,0.6857404155408302,0.5277872299694905,0.3451921318968137,0.8209849531532014,0.6091188166619727,multimodal
16,8,noise_after,,5,eval,multimodal_none_seed7_eval-noise_after,7,0.7254702956588166,0.4670764773412881,0.30874539326485734,0.5421858628590902,0.5902375991436131,0.4108311327051384,none,,,,,,,multimodal
16,8,none,,5,eval,multimodal_none_seed7_eval-none,7,0.862072202894421,0.7631331354509836,0.6306642432125328,0.33578238056765664,0.6893914954453426,0.8732973476960117,none,,,,,,,multimodal
16,8,patch_after,,5,eval,multimodal_none_seed7_eval-patch_after,7,0.7467827973542375,0.6472077561789056,0.5013749965525004,0.4897318747308519,0.5292618822776266,0.8965231330055633,none,,,,,,,multimodal
16,8,zero_after,,5,eval,multimodal_none_seed7_eval-zero_after,7,0.5454314902976697,0.5435385443340832,0.3974586348738052,0.7580435706509484,0.41288649685923634,0.9504744901315115,none,,,,,,,multimodal
16,8,zero_all,,5,eval,multimodal_none_seed7_eval-zero_all,7,0.717451236866137,0.33711762557454894,0.2245057817245694,0.602435419956843,0.8368836448998018,0.23760020577117974,none,,,,,,,multimodal
16,8,none,5,5,train,multimodal_none_train-modality_dropout_balanced_seed7,7,0.8705369454843008,0.74240970951954,0.6001619862317313,0.31057121687465244,0.7836478632817891,0.7156524742540249,modality_dropout_balanced,0.8513220681084509,0.6949669152799846,0.5405437655175426,0.3372465831538041,0.8047689874558603,0.6246500000915834,multimodal
16,8,noise_after,,5,eval,multimodal_none_train-modality_dropout_balanced_seed7_eval-noise_after,7,0.7403182276973002,0.43378653104863213,0.28478645980457246,0.5280300776163737,0.7487729685765663,0.3219898214246385,modality_dropout_balanced,,,,,,,multimodal
16,8,none,,5,eval,multimodal_none_train-modality_dropout_balanced_seed7_eval-none,7,0.8541688565854655,0.7428768717545464,0.6044585585234553,0.3686424261993832,0.693042810222812,0.8182180310092222,modality_dropout_balanced,,,,,,,multimodal
16,8,patch_after,,5,eval,multimodal_none_train-modality_dropout_balanced_seed7_eval-patch_after,7,0.7835003888165493,0.6644786698932688,0.5127212821575299,0.4650892913341522,0.5902385337732677,0.8113719952322326,modality_dropout_balanced,,,,,,,multimodal
16,8,zero_after,,5,eval,multimodal_none_train-modality_dropout_balanced_seed7_eval-zero_after,7,0.6652194129096123,0.5701832528450882,0.4125731680489973,0.6284310519695282,0.4914952058386663,0.8052495624959898,modality_dropout_balanced,,,,,,,multimodal
16,8,zero_all,,5,eval,multimodal_none_train-modality_dropout_balanced_seed7_eval-zero_all,7,0.6674060115107769,0.5478278715162612,0.39105920565728985,0.6195936169889238,0.5326976890928282,0.6809118586448482,modality_dropout_balanced,,,,,,,multimodal
16,8,none,5,5,train,multimodal_none_train-modality_dropout_light_seed7,7,0.8661141572175184,0.7354957917990426,0.5952875154672717,0.31320468419127995,0.7366522571725501,0.7441690730055425,modality_dropout_light,0.8497490882873517,0.6946832334265856,0.5419697291688975,0.3424704608817895,0.751019966929324,0.6581141437150088,multimodal
16,8,noise_after,,5,eval,multimodal_none_train-modality_dropout_light_seed7_eval-noise_after,7,0.7387127346462656,0.4352780399796312,0.28667103255723464,0.5334672927856445,0.7493246187396685,0.32652339819722453,modality_dropout_light,,,,,,,multimodal
16,8,none,,5,eval,multimodal_none_train-modality_dropout_light_seed7_eval-none,7,0.8617609518545627,0.7574678770994685,0.6229291711241818,0.3458770877785153,0.6921556430948652,0.8509427693398006,modality_dropout_light,,,,,,,multimodal
16,8,patch_after,,5,eval,multimodal_none_train-modality_dropout_light_seed7_eval-patch_after,7,0.7751557385479947,0.6655864941439265,0.5178900606860429,0.45223304960462785,0.5589954653079485,0.8662471720275807,modality_dropout_light,,,,,,,multimodal
16,8,zero_after,,5,eval,multimodal_none_train-modality_dropout_light_seed7_eval-zero_after,7,0.6246548405400018,0.570323967953011,0.41938739463501123,0.6319916612572141,0.4438191167755474,0.9040572246451882,modality_dropout_light,,,,,,,multimodal
16,8,zero_all,,5,eval,multimodal_none_train-modality_dropout_light_seed7_eval-zero_all,7,0.5688061890778706,0.5078593206560549,0.3505477449596319,0.6580944789780511,0.41819390970641984,0.7658334186568874,modality_dropout_light,,,,,,,multimodal
16,8,none,5,5,train,multimodal_none_train-modality_dropout_patch_seed7,7,0.8705279032389304,0.7433206872695984,0.599917715036028,0.3061128738853667,0.7947658085956479,0.7052606953297004,modality_dropout_patch,0.8511427773369665,0.6903864800510923,0.5357387246975376,0.33839067816734314,0.797984690735353,0.6251890176258158,multimodal
16,8,noise_after,,5,eval,multimodal_none_train-modality_dropout_patch_seed7_eval-noise_after,7,0.7330741882324203,0.4395739974520103,0.2899732932822855,0.5457139213879904,0.687334415121963,0.34518903054875905,modality_dropout_patch,,,,,,,multimodal
16,8,none,,5,eval,multimodal_none_train-modality_dropout_patch_seed7_eval-none,7,0.8248460557725676,0.7269326827589081,0.5885829163483622,0.43831397261884475,0.6298758762001646,0.8960192899018998,modality_dropout_patch,,,,,,,multimodal
16,8,patch_after,,5,eval,multimodal_none_train-modality_dropout_patch_seed7_eval-patch_after,7,0.7346189286973727,0.6449324976002184,0.4972174873240405,0.5529864099290636,0.5220491607432043,0.913156723949078,modality_dropout_patch,,,,,,,multimodal
16,8,zero_after,,5,eval,multimodal_none_train-modality_dropout_patch_seed7_eval-zero_after,7,0.5872608467384609,0.5618651482869441,0.41316233431147503,0.748055981265174,0.4296445918300685,0.9436841865118409,modality_dropout_patch,,,,,,,multimodal
16,8,zero_all,,5,eval,multimodal_none_train-modality_dropout_patch_seed7_eval-zero_all,7,0.7168445587158189,0.5406045553082977,0.3875711283972053,0.5906619727611542,0.603917370251618,0.5625344651887201,modality_dropout_patch,,,,,,,multimodal
